"","genes_list","description"
"8343","LRFN5","leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360]"
"8344","LRG1","leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]"
"8345","LRGUK","leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]"
"8346","LRIF1","ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:HGNC:30299]"
"8347","LRIG1","leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]"
"8348","LRIG2","leucine rich repeats and immunoglobulin like domains 2 [Source:HGNC Symbol;Acc:HGNC:20889]"
"8349","LRIG3","leucine rich repeats and immunoglobulin like domains 3 [Source:HGNC Symbol;Acc:HGNC:30991]"
"8350","LRIT1","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]"
"8351","LRIT2","leucine rich repeat, Ig-like and transmembrane domains 2 [Source:HGNC Symbol;Acc:HGNC:23443]"
"8352","LRIT3","leucine rich repeat, Ig-like and transmembrane domains 3 [Source:HGNC Symbol;Acc:HGNC:24783]"
"8353","LRMDA","leucine rich melanocyte differentiation associated [Source:HGNC Symbol;Acc:HGNC:23405]"
"8354","LRMP",NA
"8355","LRP1","LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]"
"8356","LRP10","LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]"
"8357","LRP11","LDL receptor related protein 11 [Source:HGNC Symbol;Acc:HGNC:16936]"
"8358","LRP12","LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]"
"8359","LRP1B","LDL receptor related protein 1B [Source:HGNC Symbol;Acc:HGNC:6693]"
"8360","LRP2","LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]"
"8361","LRP2BP","LRP2 binding protein [Source:HGNC Symbol;Acc:HGNC:25434]"
"8362","LRP3","LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]"
"8363","LRP4","LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]"
"8364","LRP5","LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]"
"8365","LRP5L","LDL receptor related protein 5 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25323]"
"8366","LRP6","LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]"
"8367","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]"
"8368","LRPAP1","LDL receptor related protein associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6701]"
"8369","LRPPRC","leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]"
"8370","LRR1","leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]"
"8371","LRRC10","leucine rich repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:20264]"
"8372","LRRC10B","leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]"
"8373","LRRC14","leucine rich repeat containing 14 [Source:HGNC Symbol;Acc:HGNC:20419]"
"8374","LRRC14B","leucine rich repeat containing 14B [Source:HGNC Symbol;Acc:HGNC:37268]"
"8375","LRRC15","leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]"
"8376","LRRC17","leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]"
"8377","LRRC18","leucine rich repeat containing 18 [Source:HGNC Symbol;Acc:HGNC:23199]"
"8378","LRRC19","leucine rich repeat containing 19 [Source:HGNC Symbol;Acc:HGNC:23379]"
"8379","LRRC2","leucine rich repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14676]"
"8380","LRRC20","leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]"
"8381","LRRC23","leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]"
"8382","LRRC24","leucine rich repeat containing 24 [Source:HGNC Symbol;Acc:HGNC:28947]"
"8383","LRRC25","leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]"
"8384","LRRC26","leucine rich repeat containing 26 [Source:HGNC Symbol;Acc:HGNC:31409]"
"8385","LRRC27","leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]"
"8386","LRRC28","leucine rich repeat containing 28 [Source:HGNC Symbol;Acc:HGNC:28355]"
"8387","LRRC29",NA
"8388","LRRC3","leucine rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:14965]"
"8389","LRRC30","leucine rich repeat containing 30 [Source:HGNC Symbol;Acc:HGNC:30219]"
"8390","LRRC31","leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261]"
"8391","LRRC32","leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]"
"8392","LRRC34","leucine rich repeat containing 34 [Source:HGNC Symbol;Acc:HGNC:28408]"
"8393","LRRC36","leucine rich repeat containing 36 [Source:HGNC Symbol;Acc:HGNC:25615]"
"8394","LRRC37A2","leucine rich repeat containing 37 member A2 [Source:HGNC Symbol;Acc:HGNC:32404]"
"8395","LRRC37A3","leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427]"
"8396","LRRC37B","leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]"
"8397","LRRC38","leucine rich repeat containing 38 [Source:HGNC Symbol;Acc:HGNC:27005]"
"8398","LRRC39","leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]"
"8399","LRRC3B","leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:HGNC:28105]"
"8400","LRRC3C","leucine rich repeat containing 3C [Source:HGNC Symbol;Acc:HGNC:40034]"
"8401","LRRC4","leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]"
"8402","LRRC40","leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]"
"8403","LRRC41","leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:HGNC:16917]"
"8404","LRRC42","leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]"
"8405","LRRC43","leucine rich repeat containing 43 [Source:HGNC Symbol;Acc:HGNC:28562]"
"8406","LRRC45","leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:HGNC:28302]"
"8407","LRRC46","leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]"
"8408","LRRC47","leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]"
"8409","LRRC49","leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]"
"8410","LRRC4B","leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]"
"8411","LRRC4C","leucine rich repeat containing 4C [Source:HGNC Symbol;Acc:HGNC:29317]"
"8412","LRRC52","leucine rich repeat containing 52 [Source:HGNC Symbol;Acc:HGNC:32156]"
"8413","LRRC53","leucine rich repeat containing 53 [Source:HGNC Symbol;Acc:HGNC:25255]"
"8414","LRRC55","leucine rich repeat containing 55 [Source:HGNC Symbol;Acc:HGNC:32324]"
"8415","LRRC56","leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]"
"8416","LRRC57","leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]"
"8417","LRRC58","leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]"
"8418","LRRC59","leucine rich repeat containing 59 [Source:HGNC Symbol;Acc:HGNC:28817]"
"8419","LRRC6",NA
"8420","LRRC61","leucine rich repeat containing 61 [Source:HGNC Symbol;Acc:HGNC:21704]"
"8421","LRRC63","leucine rich repeat containing 63 [Source:HGNC Symbol;Acc:HGNC:34296]"
"8422","LRRC66","leucine rich repeat containing 66 [Source:HGNC Symbol;Acc:HGNC:34299]"
"8423","LRRC69","leucine rich repeat containing 69 [Source:HGNC Symbol;Acc:HGNC:34303]"
"8424","LRRC7","leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]"
"8425","LRRC70","leucine rich repeat containing 70 [Source:HGNC Symbol;Acc:HGNC:35155]"
"8426","LRRC71","leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:HGNC:26556]"
"8427","LRRC72","leucine rich repeat containing 72 [Source:HGNC Symbol;Acc:HGNC:42972]"
"8428","LRRC73","leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:HGNC:21375]"
"8429","LRRC74A","leucine rich repeat containing 74A [Source:HGNC Symbol;Acc:HGNC:23346]"
"8430","LRRC74B","leucine rich repeat containing 74B [Source:HGNC Symbol;Acc:HGNC:34301]"
"8431","LRRC75A","leucine rich repeat containing 75A [Source:HGNC Symbol;Acc:HGNC:32403]"
"8432","LRRC75B","leucine rich repeat containing 75B [Source:HGNC Symbol;Acc:HGNC:33155]"
"8433","LRRC8A","leucine rich repeat containing 8 VRAC subunit A [Source:HGNC Symbol;Acc:HGNC:19027]"
"8434","LRRC8B","leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]"
"8435","LRRC8C","leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]"
"8436","LRRC8D","leucine rich repeat containing 8 VRAC subunit D [Source:HGNC Symbol;Acc:HGNC:16992]"
"8437","LRRC8E","leucine rich repeat containing 8 VRAC subunit E [Source:HGNC Symbol;Acc:HGNC:26272]"
"8438","LRRC9","leucine rich repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:19848]"
"8439","LRRCC1","leucine rich repeat and coiled-coil centrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:29373]"
"8440","LRRD1","leucine rich repeats and death domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34300]"
"8441","LRRFIP1","LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]"
"8442","LRRFIP2","LRR binding FLII interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6703]"
"8443","LRRIQ1","leucine rich repeats and IQ motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25708]"
"8444","LRRIQ3","leucine rich repeats and IQ motif containing 3 [Source:HGNC Symbol;Acc:HGNC:28318]"
"8445","LRRIQ4","leucine rich repeats and IQ motif containing 4 [Source:HGNC Symbol;Acc:HGNC:34298]"
"8446","LRRK1","leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]"
"8447","LRRK2","leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]"
"8448","LRRN1","leucine rich repeat neuronal 1 [Source:HGNC Symbol;Acc:HGNC:20980]"
"8449","LRRN2","leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]"
"8450","LRRN3","leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]"
"8451","LRRN4","leucine rich repeat neuronal 4 [Source:HGNC Symbol;Acc:HGNC:16208]"
"8452","LRRN4CL","LRRN4 C-terminal like [Source:HGNC Symbol;Acc:HGNC:33724]"
"8453","LRRTM1","leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]"
"8454","LRRTM2","leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409]"
"8455","LRRTM3","leucine rich repeat transmembrane neuronal 3 [Source:HGNC Symbol;Acc:HGNC:19410]"
"8456","LRRTM4","leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]"
"8457","LRSAM1","leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]"
"8458","LRTM1","leucine rich repeats and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:25023]"
"8459","LRTM2","leucine rich repeats and transmembrane domains 2 [Source:HGNC Symbol;Acc:HGNC:32443]"
"8460","LRTOMT","leucine rich transmembrane and O-methyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:25033]"
"8461","LRWD1","leucine rich repeats and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21769]"
"8462","LSAMP","limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]"
"8463","LSG1","large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]"
"8464","LSM1","LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]"
"8465","LSM10","LSM10, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:17562]"
"8466","LSM11","LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]"
"8467","LSM12","LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]"
"8468","LSM14A","LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]"
"8469","LSM14B","LSM family member 14B [Source:HGNC Symbol;Acc:HGNC:15887]"
"8470","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]"
"8471","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]"
"8472","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]"
"8473","LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]"
"8474","LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]"
"8475","LSM7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]"
"8476","LSM8","LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]"
"8477","LSMEM1","leucine rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:22036]"
"8478","LSMEM2","leucine rich single-pass membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:26781]"
"8479","LSP1","lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]"
"8480","LSR","lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]"
"8481","LSS","lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]"
"8482","LST1","leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]"
"8483","LTA","lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]"
"8484","LTA4H","leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]"
"8485","LTB","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"8486","LTB4R","leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]"
"8487","LTB4R2","leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]"
"8488","LTBP1","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]"
"8489","LTBP2","latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]"
"8490","LTBP3","latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]"
"8491","LTBP4","latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]"
"8492","LTBR","lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]"
"8493","LTC4S","leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]"
"8494","LTF","lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]"
"8495","LTK","leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6721]"
"8496","LTN1","listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]"
"8497","LTO1","LTO1 maturation factor of ABCE1 [Source:HGNC Symbol;Acc:HGNC:17589]"
"8498","LTV1","LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]"
"8499","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]"
"8500","LUC7L2","LUC7 like 2, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:21608]"
"8501","LUC7L3","LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]"
"8502","LUM","lumican [Source:HGNC Symbol;Acc:HGNC:6724]"
"8503","LURAP1","leucine rich adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:32327]"
"8504","LURAP1L","leucine rich adaptor protein 1 like [Source:HGNC Symbol;Acc:HGNC:31452]"
"8505","LUZP1","leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]"
"8506","LUZP2","leucine zipper protein 2 [Source:HGNC Symbol;Acc:HGNC:23206]"
"8507","LUZP4","leucine zipper protein 4 [Source:HGNC Symbol;Acc:HGNC:24971]"
"8508","LVRN","laeverin [Source:HGNC Symbol;Acc:HGNC:26904]"
"8509","LXN","latexin [Source:HGNC Symbol;Acc:HGNC:13347]"
"8510","LY6D","lymphocyte antigen 6 family member D [Source:HGNC Symbol;Acc:HGNC:13348]"
"8511","LY6E","lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]"
"8512","LY6G5B","lymphocyte antigen 6 family member G5B [Source:HGNC Symbol;Acc:HGNC:13931]"
"8513","LY6G5C","lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]"
"8514","LY6G6C","lymphocyte antigen 6 family member G6C [Source:HGNC Symbol;Acc:HGNC:13936]"
"8515","LY6G6D","lymphocyte antigen 6 family member G6D [Source:HGNC Symbol;Acc:HGNC:13935]"
"8516","LY6G6E","lymphocyte antigen 6 family member G6E (pseudogene) [Source:HGNC Symbol;Acc:HGNC:13934]"
"8517","LY6G6F","lymphocyte antigen 6 family member G6F [Source:HGNC Symbol;Acc:HGNC:13933]"
"8518","LY6H","lymphocyte antigen 6 family member H [Source:HGNC Symbol;Acc:HGNC:6728]"
"8519","LY6K","lymphocyte antigen 6 family member K [Source:HGNC Symbol;Acc:HGNC:24225]"
"8520","LY6L","lymphocyte antigen 6 family member L [Source:HGNC Symbol;Acc:HGNC:52284]"
"8521","LY75","lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]"
"8522","LY86","lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]"
"8523","LY9","lymphocyte antigen 9 [Source:HGNC Symbol;Acc:HGNC:6730]"
"8524","LY96","lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]"
"8525","LYAR","Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]"
"8526","LYG1","lysozyme g1 [Source:HGNC Symbol;Acc:HGNC:27014]"
"8527","LYG2","lysozyme g2 [Source:HGNC Symbol;Acc:HGNC:29615]"
"8528","LYL1","LYL1 basic helix-loop-helix family member [Source:HGNC Symbol;Acc:HGNC:6734]"
"8529","LYN","LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]"
"8530","LYNX1","Ly6/neurotoxin 1 [Source:HGNC Symbol;Acc:HGNC:29604]"
"8531","LYPD1","LY6/PLAUR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28431]"
"8532","LYPD2","LY6/PLAUR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25215]"
"8533","LYPD3","LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]"
"8534","LYPD4","LY6/PLAUR domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28659]"
"8535","LYPD5","LY6/PLAUR domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26397]"
"8536","LYPD6","LY6/PLAUR domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28751]"
"8537","LYPD6B","LY6/PLAUR domain containing 6B [Source:HGNC Symbol;Acc:HGNC:27018]"
"8538","LYPD8","LY6/PLAUR domain containing 8 [Source:HGNC Symbol;Acc:HGNC:44208]"
"8539","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]"
"8540","LYPLAL1","lysophospholipase like 1 [Source:HGNC Symbol;Acc:HGNC:20440]"
"8541","LYRM1","LYR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25074]"
"8542","LYRM2","LYR motif containing 2 [Source:HGNC Symbol;Acc:HGNC:25229]"
"8543","LYRM4","LYR motif containing 4 [Source:HGNC Symbol;Acc:HGNC:21365]"
"8544","LYRM7","LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]"
"8545","LYRM9","LYR motif containing 9 [Source:HGNC Symbol;Acc:HGNC:27314]"
"8546","LYSMD1","LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]"
"8547","LYSMD2","LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]"
"8548","LYSMD3","LysM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26969]"
"8549","LYSMD4","LysM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26571]"
"8550","LYST","lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]"
"8551","LYVE1","lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]"
"8552","LYZ","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]"
"8553","LYZL4","lysozyme like 4 [Source:HGNC Symbol;Acc:HGNC:28387]"
"8554","LYZL6","lysozyme like 6 [Source:HGNC Symbol;Acc:HGNC:29614]"
"8555","LZIC","leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]"
"8556","LZTFL1","leucine zipper transcription factor like 1 [Source:HGNC Symbol;Acc:HGNC:6741]"
"8557","LZTR1","leucine zipper like post translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]"
"8558","LZTS1","leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]"
"8559","LZTS2","leucine zipper tumor suppressor 2 [Source:HGNC Symbol;Acc:HGNC:29381]"
"8560","LZTS3","leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]"
"8561","M1AP","meiosis 1 associated protein [Source:HGNC Symbol;Acc:HGNC:25183]"
"8562","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
"8563","MAATS1",NA
"8564","MAB21L1","mab-21 like 1 [Source:HGNC Symbol;Acc:HGNC:6757]"
"8565","MAB21L2","mab-21 like 2 [Source:HGNC Symbol;Acc:HGNC:6758]"
"8566","MAB21L3","mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787]"
"8567","MAB21L4","mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216]"
"8568","MACC1","MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]"
"8569","MACF1","microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]"
"8570","MACO1","macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572]"
"8571","MACROD1","mono-ADP ribosylhydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29598]"
"8572","MACROD2","mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]"
"8573","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"8574","MAD2L1","mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]"
"8575","MAD2L1BP","MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059]"
"8576","MAD2L2","mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]"
"8577","MADCAM1","mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]"
"8578","MADD","MAP kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]"
"8579","MAEA","macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]"
"8580","MAEL","maelstrom spermatogenic transposon silencer [Source:HGNC Symbol;Acc:HGNC:25929]"
"8581","MAF","MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]"
"8582","MAF1","MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
"8583","MAFB","MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]"
"8584","MAFG","MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]"
"8585","MAFK","MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]"
"8586","MAG","myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]"
"8587","MAGEA1","MAGE family member A1 [Source:HGNC Symbol;Acc:HGNC:6796]"
"8588","MAGEA10","MAGE family member A10 [Source:HGNC Symbol;Acc:HGNC:6797]"
"8589","MAGEA11","MAGE family member A11 [Source:HGNC Symbol;Acc:HGNC:6798]"
"8590","MAGEA12","MAGE family member A12 [Source:HGNC Symbol;Acc:HGNC:6799]"
"8591","MAGEA4","MAGE family member A4 [Source:HGNC Symbol;Acc:HGNC:6802]"
"8592","MAGEA8","MAGE family member A8 [Source:HGNC Symbol;Acc:HGNC:6806]"
"8593","MAGEA9B","MAGE family member A9B [Source:HGNC Symbol;Acc:HGNC:31909]"
"8594","MAGEB1","MAGE family member B1 [Source:HGNC Symbol;Acc:HGNC:6808]"
"8595","MAGEB10","MAGE family member B10 [Source:HGNC Symbol;Acc:HGNC:25377]"
"8596","MAGEB16","MAGE family member B16 [Source:HGNC Symbol;Acc:HGNC:21188]"
"8597","MAGEB17","MAGE family member B17 [Source:HGNC Symbol;Acc:HGNC:17418]"
"8598","MAGEB18","MAGE family member B18 [Source:HGNC Symbol;Acc:HGNC:28515]"
"8599","MAGEB2","MAGE family member B2 [Source:HGNC Symbol;Acc:HGNC:6809]"
"8600","MAGEB3","MAGE family member B3 [Source:HGNC Symbol;Acc:HGNC:6810]"
"8601","MAGEB4","MAGE family member B4 [Source:HGNC Symbol;Acc:HGNC:6811]"
"8602","MAGEB5","MAGE family member B5 [Source:HGNC Symbol;Acc:HGNC:23795]"
"8603","MAGEB6","MAGE family member B6 [Source:HGNC Symbol;Acc:HGNC:23796]"
"8604","MAGEB6B","MAGE family member B6B [Source:HGNC Symbol;Acc:HGNC:28824]"
"8605","MAGEC1","MAGE family member C1 [Source:HGNC Symbol;Acc:HGNC:6812]"
"8606","MAGEC2","MAGE family member C2 [Source:HGNC Symbol;Acc:HGNC:13574]"
"8607","MAGEC3","MAGE family member C3 [Source:HGNC Symbol;Acc:HGNC:23798]"
"8608","MAGED1","MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]"
"8609","MAGED2","MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353]"
"8610","MAGEE1","MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]"
"8611","MAGEE2","MAGE family member E2 [Source:HGNC Symbol;Acc:HGNC:24935]"
"8612","MAGEF1","MAGE family member F1 [Source:HGNC Symbol;Acc:HGNC:29639]"
"8613","MAGEH1","MAGE family member H1 [Source:HGNC Symbol;Acc:HGNC:24092]"
"8614","MAGEL2","MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]"
"8615","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]"
"8616","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"
